Comma separated values - Tue Jan 24 13:17:03 2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sondsim-file: sondsim.dat;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Payload mass: 396.30 kg ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[s];[km];[km];[km];[m/s];[m/s];[m/s];[m/s];[-];[m/s2];[m/s2];[m/s2];[km];[km];[km];[km];[deg];[deg];[-];[-];[-];[m];[deg];[deg];[deg];[deg];[Nm];[Nm];[deg];[deg];[deg];[deg];[kg];[m];[kgm2];[kgm2];[deg/s];[deg/s];[deg/s];[km];[kPa];[g];[g];[g];[deg];[deg];[deg];[deg];[deg];[deg];[deg];[deg];[km];[s];[m/s];[m/s];[m/s];[-];[deg];[deg];[deg/s];[deg/s];[deg/s];[m/s];[m/s];[m/s];[rad];[rad];[rad];[-]
t;xup;yeast;znorth;vr;vxup;vyeast;vznorth;mach;axup;ayeast;aznorth;iipeast;iipnorth;iiprange;range;long;lat;Cd;cnalfa;cmq;xcp;alfa;beta;uy;uz;smomy;smomz;epsilon;delta;gamma;chi;mass;xcm;ix;iy;wx;wy;wz;alt;dynpress;nx;ny;nz;phi;theta;psi;phim;thetam;psim;dy;dz;instapo;tip;windup;windeast;windnorth;cmdelta;refatty;refattz;wxims;wyims;wzims;vx_incr;vy_incr;vz_incr;wz_incr;wy_incr;wx_incr;autp
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-0.0000;-0.0000;-0.0000;0.0000;0.0010;0.0000;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;21.1069;67.8933;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0412;90.5778;2654.2000;1.1977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.1000;0.0001;-0.0000;0.0000;3.8657;3.8626;-0.0216;0.1536;0.0114;67.1907;-0.4305;3.0751;0.0000;0.0000;0.0000;0.0000;21.1069;67.8933;0.3700;18.0000;1231.8000;0.4788;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2646.4000;1.2055;130.2400;19945.3205;0.0039;0.0002;0.0014;0.3341;0.0089;7.8426;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
0.2000;0.0009;-0.0000;0.0000;11.5513;11.5420;-0.0645;0.4591;0.0341;66.7313;-0.4280;3.0568;0.0000;0.0000;0.0000;0.0000;21.1069;67.8933;0.3700;18.0000;1231.8000;0.4773;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2638.6300;1.2137;130.0970;19894.5240;0.0039;0.0002;0.0014;0.3349;0.0790;7.7958;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
0.3000;0.0024;-0.0000;0.0001;19.1907;19.1753;-0.1072;0.7627;0.0566;66.2676;-0.4254;3.0384;0.0000;0.0000;0.0000;0.0001;21.1069;67.8933;0.3700;18.0000;1231.8000;0.4758;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2630.8600;1.2218;129.9540;19843.7519;0.0039;0.0002;0.0014;0.3364;0.2181;7.7486;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
0.4000;0.0047;-0.0000;0.0002;26.7835;26.7620;-0.1496;1.0644;0.0791;65.7994;-0.4227;3.0198;0.0000;0.0000;0.0000;0.0002;21.1069;67.8933;0.3700;18.0000;1231.8000;0.4744;0.0000;-0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;87.7000;-8.0000;2623.0900;1.2300;129.8110;19793.0041;0.0039;0.0002;0.0014;0.3387;0.4247;7.7009;0.0000;-0.0000;8.0064;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;-2.2776;-0.3203;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;12.0000
